numero_carte_electeur,numero_carte_identite,nom,prenom,date_naissance,lieu_naissance,sexe,adresse_email,numero_telephone,numero_bureau_vote
8500144332,3253912435,Fall,Aïssatou,1998-12-05,Clément-sur-Devaux,Féminin,aïssatou.fall@gmail.com,764335236,91
4283945337,7259293330,Fall,Amadou,1991-08-08,Saint Timothée,Masculin,amadou.fall@hotmail.com,787477477,206
9047214440,3496913390,Ndiaye,Pape,1985-11-19,Delorme,Masculin,pape.ndiaye@hotmail.com,785506702,465
7547362509,2255821570,Cissé,Moustapha,1949-04-23,Sainte Xavier,Masculin,moustapha.cissé@yahoo.fr,788282743,167
4898558113,1974214710,Faye,Cheikh,1972-10-01,Sainte Aimé,Masculin,cheikh.faye@orange.sn,762889010,385
9784246027,4430279922,Dieng,Bineta,1950-12-19,Jacquot-sur-Ruiz,Féminin,bineta2.dieng@yahoo.fr,781544679,470
5093447071,7896662820,Cissé,Malick,1978-12-25,Baudry,Masculin,malick.cissé@orange.sn,788517404,191
5904149683,3990053437,Mbaye,Ndeye,1947-10-23,Louis,Féminin,ndeye3.mbaye@gmail.com,777551422,176
9556146797,5622672912,Faye,Aminata,2001-06-20,Legrand,Féminin,aminata3.faye@orange.sn,784514017,111
8550122478,9503122388,Diouf,Aminata,1960-07-12,Saint Véronique,Féminin,aminata.diouf@yahoo.fr,772609387,114
6526521223,4508274335,Mbaye,Marième,1999-07-10,Delahaye-sur-Alexandre,Féminin,marième1.mbaye@gmail.com,789216362,405
2069263160,5729319899,Cissé,Aïssatou,2006-09-22,Morel,Féminin,aïssatou.cissé@hotmail.com,773025735,431
7733740237,3966392473,Diouf,Ousmane,1939-10-05,Girard,Masculin,ousmane.diouf@yahoo.fr,789232858,262
9373565672,9481965109,Fall,Mamadou,1988-05-09,Deschamps,Masculin,mamadou.fall@gmail.com,785645220,401
5046208064,4902062502,Cissé,Mamadou,2005-04-26,Hebertboeuf,Masculin,mamadou.cissé@yahoo.fr,777372216,347
